Offense,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Season #G,Season SOS
WAS,7.005342134,10,4.710485405,2.003596143,7.351424135,5.626806274,0.99535203,5.328786791,3.571085849,4.710485405,8.278857913,6.980016932,6.306150633,,6.306150633,2.331870028,0,2.003596143,17,1.8
LV,6.571323121,8.437336245,7.351424135,5.951084734,4.303424648,,8.278857913,2.707003429,6.674319889,5.328786791,5.951084734,8.009716659,6.571323121,1.473341663,7.076053365,6.655218151,2.331870028,4.303424648,17,6.3
LA,4.811308974,6.980016932,8.437336245,2.331870028,2.003596143,8.252216661,,2.331870028,4.608025676,8.437336245,2.707003429,4.303424648,8.009716659,4.509521021,0.99535203,5.951084734,6.571323121,8.009716659,17,1.7
LAC,4.509521021,4.303424648,7.005342134,8.278857913,0,6.011365218,8.009716659,,6.646195301,2.331870028,4.303424648,8.437336245,4.509521021,6.432062846,7.351424135,5.328786791,1.473341663,5.951084734,17,4.1
HST,5.328786791,5.951084734,5.570382052,6.571323121,7.005342134,,4.509521021,7.351424135,4.125795242,6.306150633,5.561069392,6.432062846,0,2.003596143,4.303424648,7.351424135,7.005342134,5.328786791,17,2.0
TEN,6.306150633,4.811308974,4.509521021,5.328786791,5.561069392,,5.328786791,8.278857913,3.673738973,5.951084734,0.99535203,4.979977317,4.710485405,7.005342134,6.571323121,8.278857913,2.003596143,7.005342134,17,1.9
JAX,5.561069392,5.328786791,6.571323121,4.710485405,8.278857913,5.382763816,6.306150633,5.951084734,3.90261674,4.303424648,,9.899722472,10,7.351424135,2.003596143,6.863058094,8.278857913,7.351424135,17,8.9
CAR,0,6.306150633,2.707003429,8.437336245,2.331870028,1.488265623,5.144716935,6.980016932,4.425076139,6.980016932,9.899722472,5.951084734,,8.009716659,6.655218151,10,5.144716935,2.707003429,17,5.1
ARZ,4.303424648,4.509521021,1.473341663,8.169465472,4.710485405,8.090849699,2.707003429,4.210989124,7.789715547,1.473341663,2.331870028,6.571323121,,7.076053365,5.951084734,5.144716935,6.980016932,2.331870028,17,2.2
CHI,2.331870028,0.99535203,8.278857913,6.306150633,4.210989124,5.617399284,7.076053365,2.003596143,6.037671693,10,6.980016932,6.863058094,0.99535203,,4.710485405,4.811308974,10,4.210989124,17,4.1
CIN,6.655218151,2.003596143,6.863058094,6.432062846,9.899722472,2.734423553,6.980016932,0,7.967122608,,6.655218151,7.351424135,4.303424648,0,5.144716935,7.076053365,4.811308974,9.899722472,17,4.9
BUF,1.473341663,7.351424135,6.432062846,9.899722472,6.655218151,4.347015445,,0.99535203,6.516308115,4.210989124,0,10,7.076053365,6.863058094,6.432062846,5.570382052,4.979977317,7.076053365,17,3.8
DEN,8.009716659,8.278857913,2.331870028,4.509521021,5.328786791,6.637886203,6.863058094,7.005342134,,7.351424135,4.509521021,8.169465472,9.899722472,4.303424648,8.437336245,1.473341663,4.303424648,6.571323121,17,9.3
CLV,8.169465472,6.863058094,6.655218151,6.980016932,6.571323121,7.147729025,9.899722472,4.979977317,,6.432062846,4.811308974,5.144716935,8.278857913,4.979977317,9.899722472,2.707003429,5.561069392,6.655218151,17,10.0
TB,2.003596143,2.707003429,0.99535203,4.303424648,6.980016932,6.722631033,8.169465472,9.899722472,0.530825452,8.009716659,,0,2.707003429,2.331870028,4.979977317,8.437336245,8.169465472,6.980016932,17,0.0
KC,8.437336245,6.571323121,5.328786791,5.144716935,4.509521021,4.860044297,2.331870028,,7.058656958,7.005342134,6.571323121,1.473341663,4.979977317,5.951084734,8.278857913,8.009716659,5.951084734,4.509521021,17,5.7
IND,8.278857913,7.005342134,4.303424648,7.351424135,5.951084734,7.076301537,7.351424135,5.561069392,6.752847369,4.509521021,4.710485405,6.655218151,2.003596143,,4.210989124,6.571323121,6.306150633,8.278857913,17,5.8
DAL,5.144716935,4.979977317,6.306150633,5.561069392,1.473341663,4.758199453,10,5.570382052,,0.99535203,4.210989124,6.306150633,5.328786791,8.278857913,7.005342134,4.710485405,7.351424135,5.561069392,17,4.3
MIA,7.076053365,9.899722472,4.811308974,4.979977317,6.863058094,4.253643611,6.655218151,10,5.080742786,0,,8.278857913,2.331870028,6.571323121,4.811308974,0.99535203,7.076053365,6.863058094,17,4.9
NYG,7.351424135,8.169465472,2.003596143,5.570382052,0.99535203,10,7.005342134,8.009716659,,8.278857913,10,2.003596143,5.561069392,4.710485405,5.561069392,4.210989124,5.328786791,4.710485405,17,8.7
