PLAYER_NAME,PFF_2021
Joe Burrow,91.8
Tom Brady,91.7
Josh Allen,90.9
Justin Herbert,90
Aaron Rodgers,89.4
Kirk Cousins,88.2
Matthew Stafford,86.1
Ryan Tannehill,83.7
Kyler Murray,82.9
Dak Prescott,82.4
Patrick Mahomes II,80.1
Mac Jones,80
Derek Carr,77.6
Jalen Hurts,77.1
Jacoby Brissett,76.3
Taysom Hill,75
Matt Ryan,74.7
Jameis Winston,74
Russell Wilson,73.9
Teddy Bridgewater,73.5
Jimmy Garoppolo,71.2
Daniel Jones,71.1
Carson Wentz,70.9
Lamar Jackson,70.2
Tua Tagovailoa,68.3
Tyler Huntley,68.3
Andy Dalton,67.1
Trevor Siemian,64.4
Justin Fields,64.2
Baker Mayfield,63.6
Jared Goff,60.3
Trevor Lawrence,59.6
Taylor Heinicke,59.4
Zach Wilson,59.3
Davis Mills,58.5
Sam Darnold,54.7
Ben Roethlisberger,53
