"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"169.3","Chris Carson","SEA","21.6","18.3","9.1","23.5","16.9","","4.6","","","","","12.9","18.5","17.3","7.9","9.4","9.3",""
"201.7","Nick Chubb","CLV","7.1","25.8","23.5","4.3","","","","","","18.6","11.4","25.1","17.1","23.3","13.6","15.1","16.8",""
"138.3","Austin Ekeler","LAC","9.2","16.8","25.8","1.9","","","","","","","","18.4","8.8","19.1","9.9","14.3","14.1",""
"0","Johnny Stanton","CLV","","","","","","","","","","","0","","","","","","",""
"53.3","Jordan Wilkins","IND","0","4","5","3.6","0.1","-0.1","","17.8","4.8","2.8","4.1","7.2","2.8","1.2","","","",""
"19","Patrick Laird","MIA","1.9","0","0","","0","0.7","","","2.1","1.9","1.3","0.9","3.2","2.8","4.2","","0",""
"156.4","Miles Sanders","PHI","","20.6","12.7","8.6","22.9","11.7","","","","10.5","9.6","3.2","3.1","27.6","9.5","16.4","",""
"5.5","Dontrell Hilliard","HST","","","","2.6","","2.9","","","","","","","","","","","",""
"2.7","Andy Janovich","CLV","0","0.5","1.8","0","0.4","0","0","0","","0","","","0","0","0","0","0",""
"0","Henry Mondeaux","PIT","","","","","","","0","","","","","","","","","","",""
"94.2","Frank Gore","NYJ","2.4","6.3","6.7","4.1","3","9","6","3","6.9","","14.1","10.1","0.2","3.6","13","5.8","",""
"124.7","Latavius Murray","NO","4.8","4.3","7","20.8","6.7","","6.1","4.6","5.2","5.7","9.5","25.1","2.7","1.2","9.9","11.1","",""
"2.1","LeVante Bellamy","DEN","","","","","","","","","","","","","","","","2.1","0",""
"0","Jeremy Cox","DEN","","","","","","","0","0","","0","0","","","","","","",""
"31.1","Royce Freeman","DEN","1.7","2","4.5","2.2","","3.5","2.2","","0","3.6","0","5","0","0","0.4","3.3","2.7",""
"22.8","Ke'Shawn Vaughn","TB","","","","9.6","1.5","4.2","","","","","","","","-0.3","0.4","7.4","0",""
"13.9","Mike Boone","MIN","","","","","1.9","1","","","","","","","0","1.7","","6.4","2.9",""
"80.4","Alexander Mattison","MIN","10","2.1","2.7","7.7","15.1","3.5","","0.8","6.9","0.4","0.6","0.6","","","2","","28",""
"14.3","Ty Montgomery","NO","-0.4","3.5","","","","","","","","","0","","","","","0","11.2",""
"10.7","Tevin Coleman","SF","2.9","5","","","","","","2","","","","","-1.1","0","1.1","0.8","0",""
"79.4","Kalen Ballage","LAC","","2.7","7.7","2.1","","","","","15.4","12.7","10.6","","5.4","2.5","7.1","3.6","9.6",""
"28.3","Travis Homer","SEA","1.3","2.1","1.9","7.3","1.4","","1","0.4","9.5","3.4","","","","","","","",""
"170.8","D'Andre Swift","DET","9.8","9.7","2.4","13.2","","25.8","12.8","3.8","11.2","23.4","","","","13","22.2","9","14.5",""
"1.3","Tony Jones Jr.","NO","","","","","","","","","","","","","","","","","1.3",""
"83.1","Boston Scott","PHI","6.4","5.8","0.5","0.1","0.3","1.9","16.7","8.9","","13.9","6.5","7.2","0.9","2.2","1.2","1.7","8.9",""
"16.7","Ryan Nall","CHI","0","0.7","0","0","0","0","","0.7","11.5","2.3","","1.5","0","0","0","0","0",""
"20.6","Tyler Ervin","GB","4.9","0.9","2.3","1.3","","","","1.2","9.2","0.8","","","0","","","","",""
"106.8","Tony Pollard","DAL","4.2","1.4","0","9.7","4.2","5","2.7","7.4","6.3","","12","3.2","3.3","11.8","28.2","2.5","4.9",""
"17.7","Gabe Nabers","LAC","0","0","0","1.4","0","","0","6.7","6.9","1.4","0","0","0","0.3","0","0","1",""
"21.2","Trayveon Williams","CIN","","","","","","","","","","2.2","","1.6","","7.8","0.8","0.6","8.2",""
"0","Kenjon Barner","TB","","","","0","","","","","","","","","","","0","0","",""
"1.6","Lamar Miller","WAS","","","","","","","","","","1.6","","","","","","","",""
"0.4","Tony Brooks-James","ATL","","","","","","","","","","","","0.4","","","","","",""
"32","Rodney Smith","CAR","","","","","","","","","","2","2.9","1.8","","3.4","6.2","4.8","10.9",""
"13.5","Jakob Johnson","NE","0","6.6","1.1","0","","0","0.6","0","1.6","3","0","0","0.6","0","0","0","0",""
"0","Trey Edmunds","PIT","","","","","0","","0","","","","","","","","","","",""
"122.3","Darrell Henderson","LA","0.6","19.1","18.5","4.2","20.3","9.2","8.6","6.3","","9.8","1.9","1.9","14.4","0.5","0.8","6.2","",""
"88.8","Damien Harris","NE","","","","10","","3.8","7.5","16.2","7.1","12.1","11.9","4.7","10","5.5","","","",""
"15.8","Troymaine Pope","LAC","","","","","0","","0.6","12","","","2.6","0.6","","","","","",""
"20.6","Alex Collins","SEA","","","","","","","","","0.5","11.2","","","","","","","8.9",""
"0.2","Myles Hartsfield","CAR","","","","","","","0.2","","","","","","","","","","",""
"235.4","Aaron Jones","GB","15.6","43.6","15.6","19.6","","11.6","","","10.4","12","15.1","9.5","22.3","8.5","23.3","11.8","16.5",""
"66.6","Le'Veon Bell","KC","5.6","","","","7.2","","3.9","5.3","0.8","","10.1","4.2","6.5","4.5","14.1","4.4","",""
"2.1","Scottie Phillips","HST","","","","","","","","","","","","0","","0","2.1","","",""
"71.8","Sony Michel","NE","9.7","1.9","15","","","","","","","","","0","6.3","2.2","8.7","6.9","21.1",""
"3.5","Austin Walter","SF","","","","","","","","","","3.5","","","","","","","",""
"109.7","Jerick McKinnon","SF","11.9","13.7","15.2","19.2","1.5","3.8","-0.1","11.9","14.3","5.1","","4.2","0","","3.2","4.7","1.1",""
"21.5","C.J. Ham","MIN","0","0.4","1.6","0.2","0","0","","0.2","0","1.3","0","1","7.7","3.7","0","","5.4",""
"12.2","C.J. Prosise","HST","","0","0.1","","","","","","","0.3","2.2","7.9","","1.7","","","",""
"158","Clyde Edwards-Helaire","KC","19.8","10","15.9","10.6","9.5","18.9","12.8","4.6","10.9","","20.2","4.4","","11.6","8.8","","",""
"64.3","Kerryon Johnson","DET","1.4","9.2","3.5","1.7","","2.5","0","8.5","8","0.3","4.8","11.8","2.1","7.8","0","2.7","0",""
"39.3","A.J. Dillon","GB","1.4","1.7","","0.3","","3.1","1.1","4.2","","","","","","","1.8","25.4","0.3",""
"7.8","Anthony Sherman","KC","0.2","0","7","0","0","","","","","","0","0","0","0","0","0","0.6",""
"15.1","Darrynton Evans","TEN","","","0.9","","1.2","","","","","","","","","","12.7","0.3","0",""
"74.4","Duke Johnson Jr.","HST","1.4","","","6","2.4","1.6","6.7","","15.3","5.4","5","15.5","6.2","8.9","","","",""
"0","Nathan Cottrell","JAX","0","","","","","","","","","","","","","","","","",""
"0","Andrew Beck","DEN","0","0","0","0","","0","","","","","","","0","0","0","0","0",""
"0","Minkah Fitzpatrick","PIT","","","0","","0","0","0","","","","","0","","","","0","",""
"236.8","Jonathan Taylor","IND","11.9","18","12.7","8.4","14.4","13.5","","4.1","10.4","4.7","13.4","","21","29.5","17.5","19.4","37.9",""
