"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"92.2","Kyle Rudolph","MIN","0","2.4","1.6","1.7","0.9","5.1","14.3","3.2","9.8","15.4","15.2","","13","2.1","6.3","1.2","0",""
"177.2","Mark Andrews","BLT","20.8","21.2","3","11.1","7","12.9","4.9","","3.1","20.3","15.5","5.5","12.5","1.9","13.2","24.3","",""
"1.7","Sean Culkin","LAC","0","0","0","1.7","","","","","","","","","","","","","",""
"2.1","Scott Simonson","NYG","","","","","","","","","","","","1.5","0","0","0.6","0","",""
"108.4","Jason Witten","DAL","9","10.5","6.9","7","4.4","8.2","5.3","","9.8","2.7","5.8","1","13.2","6.2","11.6","2.4","4.4",""
"1.3","Jordan Thomas","HST","","","","","","","","","","","","0","0","0","0","","1.3",""
"13","Geoff Swaim","JAX","3.7","2.9","1.3","3.2","0.9","1","","","","","","","","","","","",""
"13.6","Stephen Carlson","CLV","","","","","","","","","0","0","7.3","1.3","3.8","0","0","1.2","0",""
"0","Matt Lengel","IND","","","","","","","","","","","","","0","","","","",""
"6.6","Vita Vea","TB","","","","","","","","","","0","","6.6","0","0","","","",""
"90.3","Jack Doyle","IND","2.5","3.1","6.6","10.2","3.4","","3.6","8.1","9.7","11.9","0","4.3","16.3","3.7","3.1","2.7","1.1",""
"20.3","Hale Hentges","WAS","","","","","","0","0","1.8","0","","0.5","0","0","0","0","9.8","8.2",""
"93.1","Darren Fells","HST","0","1.4","13.4","1.7","15","9.9","3.7","20.8","6.6","","2.3","2.9","9.3","1.2","0.7","4.2","",""
"15.4","Trey Burton","CHI","","1.5","4","2.6","3.1","","2.1","2.1","0","0","","","","","","","",""
"0.8","Xavier Grimble","PIT","0","0","0.8","","","","","","","","","","","","","","",""
"16.1","Tyler Kroft","BUF","","","","","","","0","4.2","0","0","1.1","1.9","0","0","7.9","0","1",""
"23.4","Nick O'Leary","JAX","0","1.1","2.4","1.4","","0.8","0","0","","","","5.6","1.1","11","0","0","",""
"3","Josh Oliver","JAX","","","","","","","0","1.1","0.9","","1","","","","","","",""
"20","Seth DeValve","JAX","0","0","0","0","0","2.1","0","1.6","6.1","","","","","","3.3","6","0.9",""
"18.3","Virgil Green","LAC","0.9","1.4","0","","1","2","1.4","1.5","0","0","1.3","","0","7.9","0","0.9","0",""
"0","Jerome Cunningham","WAS","","","","","0","0","","","","","","","","","","","",""
"6.5","Deon Yelder","KC","","","0","5.3","0","0","0","","","1.2","0","","","","","","",""
"8.3","Cethan Carter","CIN","","","","0","","","","","","0","0","","","0","8.3","0","0",""
"9.8","Tyler Conklin","MIN","","0","0","0","0","0","0","0","0","0","3.8","","1.8","2.8","0","0","1.4",""
"1.1","Dalton Schultz","DAL","0","0","0","0","0","1.1","0","","0","0","0","0","0","0","0","0","0",""
"53.9","Ricky Seals-Jones","CLV","","0","1.9","15.7","0","12.2","","0","2.2","","0","0","0","2.7","16.4","2.8","0",""
"11.1","Lee Smith","BUF","0","1.3","0","0","7.3","","1.4","1.1","0","0","0","0","0","0","0","0","0",""
"53.1","Josh Hill","NO","0.3","0","0.9","4.4","5.4","1.3","11.8","5.4","","0","1.8","1.7","0.7","7.4","7","0","5",""
"207.8","Travis Kelce","KC","10.3","20.2","12.4","12","9","7.8","7.4","14.3","9.7","17","18.7","","11.5","16.5","19.7","17.4","3.9",""
"10.7","Blake Bell","KC","1.2","0","0.6","0","0","0","0","0","0.7","0","","","0","0","5.1","2.5","0.6",""
"1.6","Chris Manhertz","CAR","0","0","0","0","","0","","0","0","0","0","0","0","1.6","0","0","0",""
"79","Ryan Griffin","NYJ","2.5","0","1","","0.7","10.3","0.6","20.6","8","0.3","19.4","8.8","5.5","1.3","","","",""
"28.7","Dan Arnold","ARZ","","","","","","","0","3.5","","","","","","","7.1","2.5","15.6",""
"0","Michael Ola","NO","","","","","","","","","","","","","","","","0","",""
"0.9","Zach Gentry","PIT","","","0","0","","0","","","","","","","","","0.9","","",""
"0.6","Eric Tomlinson","OAK","0","0","0","","","","0.6","0","","","","","","","0","0","0",""
"38.7","Charles Clay","ARZ","1","1.1","1.4","0.8","3.2","1.8","1.7","10.3","1.1","1","0","","3.9","7","2.3","2.1","",""
"61.9","Hayden Hurst","BLT","5.6","6.6","2.4","4.9","5.2","0.9","1.5","","2.5","3","2.6","0","3.6","14.8","2.4","1.4","4.5",""
"71.3","Gerald Everett","LA","1.2","3.6","2.5","12.9","17.1","1.9","13","2.5","","10.8","2.5","3.3","","","","0","",""
"73.1","Cameron Brate","TB","1.8","2","1.7","11.1","1.6","11.7","","4.7","0","0","12.3","0","1","11","4.8","2.7","6.7",""
"125.9","Tyler Higbee","LA","10","3.1","","6.1","6.2","4","1.3","1.3","","3.7","0","4.5","20.2","15.1","17.1","14.9","18.4",""
"0","Evan Baylis","GB","","","0","","","0","0","0","","","","","","","","","",""
"0","Bradley Sowell","CHI","0","0","","","","","","","","","0","","0","0","0","","",""
"33.4","Anthony Firkser","TEN","0","0","0","","0","3","3.2","5.8","0","11.1","","0","3.7","4.4","1.2","0","1",""
"19.8","Andrew Beck","DEN","0","0","0","0","1.5","0","0","0","0","","0","2.3","1.6","3.4","2.3","0.9","7.8",""
"43.1","Jeremy Sprinkle","WAS","1.3","1.6","2.9","2.5","2.7","3.4","2.3","2.2","2.1","","8.6","0.9","4.6","0","2.3","2.4","3.3",""
"0.9","Darrell Daniels","ARZ","","","","","","0","0","0","","0","0.9","","0","0","","0","",""
"180","George Kittle","SF","9.4","6.9","8.7","","17.8","14.3","5.3","11.6","16.9","","","21.9","2.4","15.7","19.9","16.4","12.8",""
"18","MyCole Pruitt","TEN","0","0","0","0","0","0","0","0","0","0","","2.5","0","4.7","0","2.5","8.3",""
"25.8","Benjamin Watson","NE","","","","","","","3.3","3.1","4.8","","6.7","0","2.8","1.2","0","3","0.9",""
"5.9","Trevon Wesco","NYJ","0","0","0","","0","0","0","0","0","2.2","0","0","0","0","0","3.7","0",""
"13.3","Mo Alie-Cox","IND","0.8","0","3.5","0","1.5","","0","0","1.6","0","0","0","0","1.3","0","2.6","2",""
"24.4","Jeff Heuerman","DEN","0","4.1","3","0","3.1","0","0","1.6","","","","0","3","7.3","0","2.3","0",""
"119.7","Dallas Goedert","PHI","2.6","","0","8.6","1.6","7.3","14.9","9.7","5.9","","11.1","6.7","9.6","5.6","8","19.6","8.5",""
"2","Levine Toilolo","SF","0","0","0","","0","1.3","0.7","0","0","0","0","","","","0","0","0",""
"0","Jason Vander Laan","NO","","","","","","","","","","","","0","0","","","","",""
"21","Robert Tonyan","GB","3.3","0","0.9","1.6","2.8","","","","","","","1.8","0","7.7","1","0","1.9",""
"64.7","T.J. Hockenson","DET","22.1","1.2","0.6","10.2","","4.1","4.7","2.6","7.1","6.2","1.1","0","4.8","","","","",""
"1.6","Antony Auclair","TB","0","0","0","0","0","0","","0","1.6","","","","","","","","",""
"71.8","Jordan Akins","HST","2.2","3.5","20.8","3.6","2.6","5.4","2.7","2.1","3.9","","2","4.1","2.4","6.9","1.7","0","7.9",""
"112.5","Mike Gesicki","MIA","4.1","1.6","2.4","0","","6.6","6.1","2","12.5","4.3","3.8","10.3","16.4","1.1","6.7","23.2","11.4",""
"87.4","Evan Engram","NYG","23.1","7.8","20.3","7.4","7.7","","1.1","12","8","","","","","","","","",""
"57.9","Foster Moreau","OAK","3","0","0.6","10.5","6.6","","9.4","1.5","6.8","0","7.8","0.8","2","8.9","","","",""
"49.7","C.J. Uzomah","CIN","8.6","0","0","0","2.6","3.6","0","0.9","","0","1.5","0","7.6","0.9","1.3","11.7","11",""
"16.7","Daniel Brown","NYJ","0","0","0","","0","0","0","0","0","0","8.5","0","1.4","1.2","0.9","0","4.7",""
"64.5","Vance McDonald","PIT","5","19.3","1.5","","4.9","1","","3.4","11.5","2.8","4.8","0.6","3.6","0.8","","2.4","2.9",""
"11.9","Luke Willson","SEA","","","","3.6","1.5","2.6","0","1.2","3","0","","","","","","0","",""
"83.1","Tyler Eifert","CIN","5.2","8.4","2.3","3.7","2.4","2.3","2","10.4","","9","3.6","1.2","1.7","6.9","5.9","13.7","4.4",""
"0","Garrett Dickerson","NYG","","","","0","0","","","","","","","","","","","","0",""
"28.6","Ross Dwelley","SF","0","0","0","","0.7","0","0.7","0","4.9","3.9","15.4","0","0","0","0","3","0",""
"73.4","Jacob Hollister","SEA","","","","","","0","3.5","2.8","17.7","16.2","","3.2","7.4","5.4","3.8","8.9","4.5",""
"93","Noah Fant","DEN","3.4","5.3","5.2","10.1","1.1","2.6","1.2","5.1","19","","7.3","2.9","1","19.3","6.6","2","0.9",""
"97.7","Greg Olsen","CAR","5.6","14","22.5","1.5","0","7.2","","2.3","5.5","13.8","8.2","6.9","3.7","","","4.3","2.2",""
"40.4","Demetrius Harris","CLV","0","0.9","6.7","0","0.5","0","","10.3","4","3.8","0","3","2.8","","1.8","6.6","0",""
"29.1","Marcedes Lewis","GB","2.4","0","2.4","2.9","2.7","6","0","1.6","0","0","","0","6.6","1","1.1","0.7","1.7",""
"146","Jared Cook","NO","4.7","3.5","1.2","3.6","12.1","11.2","","","","10.4","10.3","18.9","10","19.4","7.4","21.9","11.4",""
"9.3","Luke Stocker","ATL","0","0.9","2.7","0","0","0.5","0","2.3","","0","0","0","","0","1.4","0","1.5",""
"0","Brandon Dillon","MIN","0","","","","","","","","","","","","","","","","",""
"7.1","Ross Travis","NYJ","","","","","","","","","","","","","4.1","0.6","","2.4","",""
"0","Mason Schreck","CIN","","","","","","","","","","","","","0","","0","","",""
"","","","","","","","0","0","","","","","","","","","","","",""
"23.3","Vernon Davis","WAS","13.9","4.4","4","1","","","","","","","","","","","","","",""
"10","Durham Smythe","MIA","0","2.9","0","0","","0","0","0","0","0","0","0","2.3","0.7","0","2.8","1.3",""
"33.7","Maxx Williams","ARZ","2","2.6","0","2.6","1.2","10.9","1","1.4","1.7","2","0","","0","0","0.9","4.6","2.8",""
"62.4","Will Dissly","SEA","1.7","19.5","15.2","15.2","10.8","0","","","","","","","","","","","",""
"152.2","Austin Hooper","ATL","12.2","5.4","21.6","17.5","8.6","21.7","12.6","15.5","","9.7","","","","4.2","3.5","11.7","8",""
"65.7","Dawson Knox","BUF","0.6","2.3","15.1","7.3","2.2","","3.2","0","2.4","7.5","10.2","2.1","3.2","4.2","1.6","3.8","",""
"34.3","James O'Shaughnessy","JAX","5.2","4.8","8.8","8.3","7.2","","","","","","","","","","","","",""
"3.7","Pharaoh Brown","CLV","","0","0","2.3","0","1.4","","0","","0","0","","","","","","",""
"0","Richard Rodgers","PHI","","","","","","","","","","","","","","","","","0",""
"8.1","Clive Walford","MIA","","","","","","","","","0","1.3","0","","0","0.4","4.4","2","",""
"122.7","Hunter Henry","LAC","8","","","","","26","12.7","6.7","11.9","11","9.9","","2","10.9","3.9","7","12.7",""
"0","Alex Ellis","PHI","0","","0","0","","","","","","","","","","","","","",""
"15.4","Tommy Sweeney","BUF","4.5","0","0.8","0","0","","","","","","","","","","","","10.1",""
"22.2","Jesse James","DET","2","3.3","1.8","0","","1.3","1.2","0","0.8","0","0","1.2","0","2.8","4.6","1.7","1.5",""
"0","Jace Sternberger","GB","","","","","","","","","","0","","","0","0","0","","0",""
"25.1","Nick Vannett","PIT","2.6","1.8","1.4","3.8","0","1","","2","0","1.3","1.2","0","1.2","0","6.5","2.3","0",""
"26","Derek Carrier","OAK","","4.8","0","0","3.2","","3.2","0","2.7","0","0","0","8","0","1","2.2","0.9",""
"2.3","Isaac Nauta","DET","","","","","","","","","","","","0","0","0.8","1.5","0","",""
"171.6","Zach Ertz","PHI","7.9","11.2","8.4","10","14.2","7.4","4.8","3","20.8","","13.9","21.1","3.9","25.6","14.6","4.8","",""
"44","Delanie Walker","TEN","20","5.9","9.9","0.9","1.5","5.8","0","","","","","","","","","","",""
"60.3","Kaden Smith","NYG","","","","","","0","","","0","0.6","","10.2","10","1.9","5.3","18.5","13.8",""
"6.5","Lance Kendricks","LAC","","","1.8","4.7","0","0","0","","0","0","","","","0","0","","",""
"11.9","Adam Shaheen","CHI","1.1","3.9","1.2","2.3","0","","3.4","0","0","","","","","","","","",""
"31.7","Rhett Ellison","NYG","1.3","1.3","0.8","3.9","0.8","4.5","10.3","0.4","2.7","5.7","","","","","","","",""
"1.4","Ben Koyack","JAX","","","","","","0","0","0","0","","1.4","0","0","0","0","0","0",""
"19.2","Joshua Perkins","PHI","","","","","","","","","","","","","","6.2","0","0","13",""
"68.9","O.J. Howard","TB","5.2","0","8.1","4.8","1.5","4.5","","","","12.7","0","1.5","8.6","9.3","6.6","6.1","0",""
"0","Garrett Celek","SF","","","","","","","","","","0","0","0","0","0","","","",""
"14.9","Ben Braunecker","CHI","0","3.4","0","","","","","0","0","8.3","1.3","1.9","","","","","",""
"3.6","Tanner Hudson","TB","","","","","","","","0","1.7","0","0","0","0","0","1.9","","0",""
"87.2","Jonnu Smith","TEN","2.2","0","3","1","6.2","1.3","7.9","16.8","3.3","5","","0.4","1","10.4","14.2","13.8","0.7",""
"20.4","Ryan Izzo","NE","0.8","0","4.6","0","10.9","4.1","","","","","","","","","","","",""
"25.4","Jaeden Graham","ATL","0","0","","0","0","2.6","0","1.6","","0","3.3","5.8","12.1","0","0","0","0",""
"12.6","David Njoku","CLV","11.7","0","","","","","","","","","","","","0.9","","","0",""
"12.8","Troy Fumagalli","DEN","0","1.2","0","","","","","","1.4","","6.8","0","0","0.8","1.2","0","1.4",""
"1.2","Chris Herndon","NYJ","","","","","","","","","","1.2","","","","","","","",""
"61.1","Irv Smith Jr.","MIN","0","0.4","7.5","1","0","3.9","8.5","3.6","5.3","5.9","9.5","","1.1","3.6","7.8","1.4","1.6",""
"27.6","Ian Thomas","CAR","0","0","0","0","0","0","","0","0","0","0","0.9","4.4","14.2","3.3","3.1","1.7",""
"1","Tyrone Swoopes","SEA","","","","","","","","","","","","0","0","0","0","","1",""
"59.6","Nick Boyle","BLT","4.1","1.9","7.8","1.4","0","2.8","2.5","","11.2","9.8","3","1.2","0.9","8","0","3.9","1.1",""
"5.5","Drew Sample","CIN","0","3.5","0","0","0","0.4","0.8","0","","0.8","","","","","","","",""
