"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"WAS","5.033045317085362","10","2.6355624453031745","0.591874967628781","4.0875965853650955","4.471547292782352","0.1919040633592636","3.3983044489677807","2.691782417310586","2.6355624453031745","6.171568241087659","8.551731141605913","5.41112133476563","","5.41112133476563","1.2209576812686382","0.43235758034162136","0.591874967628781","17","2.0847625410271813"
"LV","5.626282655694554","5.581107831046644","4.0875965853650955","5.168696367960086","3.8240440336913606","","5.998563082744225","3.545410241048816","5.033045317085362","3.3983044489677807","5.168696367960086","6.936231749438234","5.626282655694554","0","4.1559805781526205","4.163461388813911","1.2209576812686382","3.8240440336913606","17","4.228374997240858"
"LA","2.3429579370494964","8.551731141605913","5.581107831046644","1.2209576812686382","0.591874967628781","6.252803056567613","","1.2209576812686382","4.820695633133519","5.581107831046644","3.545410241048816","3.8240440336913606","6.936231749438234","3.119319667361771","0.6159645260517114","5.168696367960086","5.626282655694554","6.936231749438234","17","3.4105861290271546"
"LAC","3.119319667361771","3.8240440336913606","5.033045317085362","6.171568241087659","0.43235758034162136","6.044035157762766","6.797781400915733","","8.551731141605913","1.2209576812686382","3.8240440336913606","5.581107831046644","3.119319667361771","5.244396758713982","4.0875965853650955","3.3983044489677807","0","5.168696367960086","17","4.156029218528699"
"HST","3.3983044489677807","5.168696367960086","3.8239470234850454","5.626282655694554","5.033045317085362","","2.808384729658501","4.0875965853650955","2.6355624453031745","5.41112133476563","5.422903697974042","5.244396758713982","0.43235758034162136","0.591874967628781","3.8240440336913606","4.0875965853650955","5.033045317085362","3.3983044489677807","17","1.657561295773243"
"TEN","5.41112133476563","2.3429579370494964","3.119319667361771","3.3983044489677807","5.422903697974042","","3.0999767116422614","6.171568241087659","3.8240440336913606","5.168696367960086","0.6159645260517114","4.275257247230236","2.6355624453031745","5.033045317085362","5.626282655694554","6.171568241087659","0.591874967628781","5.033045317085362","17","1.5654190516721935"
"JAX","5.422903697974042","3.3983044489677807","5.626282655694554","2.6355624453031745","6.171568241087659","3.9738204963370953","5.203751913004479","5.168696367960086","3.119319667361771","3.8240440336913606","","5.449904886295159","10","4.0875965853650955","0.591874967628781","5.229512204305321","6.171568241087659","4.0875965853650955","17","7.874696504598404"
"CAR","0.43235758034162136","5.41112133476563","3.545410241048816","5.581107831046644","1.2209576812686382","0","4.586645131903443","8.551731141605913","4.275257247230236","8.551731141605913","5.449904886295159","5.168696367960086","","6.936231749438234","4.163461388813911","10","4.820695633133519","3.545410241048816","17","7.582063001636498"
"ARZ","3.8240440336913606","3.119319667361771","0","5.34722906211779","2.6355624453031745","8.110909515959937","3.253730150189234","2.691782417310586","6.936231749438234","0","1.2209576812686382","5.626282655694554","","4.1559805781526205","5.168696367960086","4.820695633133519","8.551731141605913","1.2209576812686382","17","3.5879657211262126"
"CHI","1.2209576812686382","0.6159645260517114","6.171568241087659","5.41112133476563","2.691782417310586","6.34129348570199","3.891891894036686","0.591874967628781","5.244396758713982","10","8.551731141605913","5.229512204305321","0.6159645260517114","","2.6355624453031745","2.3429579370494964","10","2.691782417310586","17","4.9217141339908945"
