"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"5.5","Ted Ginn Jr.","CHI","0","","3.4","2.1","0","0","0","","","","","","","","","","",""
"2.7","John Ross","CIN","2.7","0","","","","0","","","","","","","","","","","",""
"3","Antonio Callaway","MIA","","","","","","","","","","","1.8","1.2","0","0","","","",""
"134.2","T.Y. Hilton","IND","7.3","4.3","6.7","4.4","9.9","1.6","","1.9","","6","5.1","16.1","21","23.1","9.1","7.5","10.2",""
"127.1","D.J. Chark Jr.","JAX","10","10.4","","25.5","3.1","8","3.1","","24.1","7.6","6.1","","5.1","2.6","7.3","14.2","",""
"188.8","Amari Cooper","DAL","13.1","13","13.1","25.4","3.1","17.4","12","1","10","","11.1","20.2","13.8","13.1","1.3","14.1","7.1",""
"44.2","Julian Edelman","NE","10.5","21.9","3.2","5","","1.8","1.8","","","","","","","","","","",""
"129.7","Mike Williams","LAC","8.9","2.4","2.2","","25.4","","0.9","18.5","10.6","4.8","15.2","4.1","6.3","0","3.2","7.4","19.8",""
"3.4","Deontay Burnett","PHI","","","3.4","0","","","","","","","","","","","","","",""
"5.1","Andre Roberts","BUF","0","0","0","0.8","2.1","0","","","","0","","","","","","2.2","",""
"56.9","Quintez Cephus","DET","5.8","6.9","0","0","","","","","4.1","1.5","1.4","3.7","13.3","2.6","4.1","1.4","12.1",""
"55.8","Kenny Golladay","DET","","","14.7","14.2","","12.5","14.4","0","","","","","","","","","",""
"118","Darius Slayton","NYG","25.2","4.8","6.8","6.3","16.9","10.8","3.3","8.1","1.3","11.8","","0","1.9","4.6","9.4","3.6","3.2",""
"19.7","Dez Bryant","BLT","","","","","","","","","0","","4.8","0","","","7.6","7.3","0",""
"226.2","Justin Jefferson","MIN","3.6","5.9","27","12.3","3.8","33.1","","4.1","7.9","17.5","16.1","22.5","22.8","5.9","14.4","11.5","17.8",""
"8.9","Joe Reed","LAC","0","0.8","0","","","","7.4","0","0.7","","","","","","","","0",""
"0","Jason Moore","LAC","","","","0","","","","0","","","","","","","","","",""
"182.3","Terry McLaurin","WAS","8.6","22","10.6","16.8","4.1","10.9","18.5","","21","15.7","10.9","12.7","2.4","3.4","11.2","","13.5",""
"25.6","Brandon Powell","ATL","0","","4.2","","0","0","0.9","0","7.8","","0.3","7.4","1.4","1.4","1.5","0.7","",""
"87.1","Demarcus Robinson","KC","3.5","4.3","0","0","1.2","9.4","0.9","14.3","10.9","","7.4","6.1","4.9","1.8","3.7","9.9","8.8",""
"152.5","Tyler Boyd","CIN","5.3","16.7","17.5","12.9","6.2","10.4","21.6","16.6","","7.1","13","3","13.7","6.8","0","","1.7",""
"119.6","Darnell Mooney","CHI","5.3","11.1","2.9","7.4","2.5","5.1","5.5","15.4","6.8","1.3","","4.9","6.3","9.7","14.5","6.1","14.8",""
"211.9","Allen Robinson II","CHI","9.8","4.8","23.3","19.6","14","7.8","9","17.7","11.6","7.3","","23.4","10.5","22.8","10.3","15.3","4.7",""
"63.7","Jalen Reagor","PHI","6","6.1","","","","","","9.7","","6.7","7.2","2.6","5","7.5","6.4","4.5","2",""
"74.6","Odell Beckham Jr.","CLV","3.7","15.4","7.9","35.9","8.2","3.5","0","","","","","","","","","","",""
"24.8","KeeSean Johnson","ARZ","","","3.4","","1","","","","","","","1.2","4.7","1.4","4.8","6","2.3",""
