"Offense","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","Season #G","Season SOS"
"WAS","6.2212651129588625","4.883849387924899","4.992343034184822","3.9456576781471258","8.256120523233498","7.234751689780631","0.9833739013271309","5.610241627717364","5.006816150514561","6.046838851414416","6.6473775744335395","2.9613170638321944","5.303959153920358","","5.303959153920358","3.265840725003887","0","3.9456576781471258","17","3.961097106945728"
"LV","5.090109383973918","7.899967169657951","8.256120523233498","4.765782759409387","2.895071713378903","","6.6473775744335395","1.418451428122213","5.809147628293782","6.795251609917294","4.765782759409387","5.14847221432573","5.090109383973918","1.349338998171414","6.4587055082107225","4.93252180172106","3.265840725003887","2.895071713378903","17","5.833111646554778"
"LA","3.802566049962279","2.9613170638321944","7.899967169657951","3.265840725003887","3.9456576781471258","7.64273968958021","","3.265840725003887","2.9783904377964046","9.568618998991964","1.418451428122213","2.895071713378903","5.14847221432573","3.591053390872002","0.9833739013271309","4.765782759409387","5.090109383973918","5.14847221432573","17","0.03056765349288212"
"LAC","3.591053390872002","2.895071713378903","6.2212651129588625","6.6473775744335395","0","4.765782759409387","5.14847221432573","","2.1936621756958417","3.955660186662131","2.895071713378903","7.899967169657951","3.591053390872002","4.685835729074376","8.256120523233498","5.610241627717364","1.349338998171414","4.765782759409387","17","2.832011976746818"
"HST","5.610241627717364","4.765782759409387","7.234751689780631","5.090109383973918","6.2212651129588625","","3.591053390872002","8.256120523233498","4.446196491887093","6.424275346991991","2.1445402943624994","4.685835729074376","0","3.9456576781471258","2.895071713378903","8.256120523233498","6.2212651129588625","5.610241627717364","17","3.4803151851953795"
"TEN","5.303959153920358","3.802566049962279","3.591053390872002","5.610241627717364","2.1445402943624994","","5.610241627717364","6.6473775744335395","2.120191955539943","5.772423919924652","0.9833739013271309","4.568676542924387","4.992343034184822","6.2212651129588625","5.090109383973918","6.6473775744335395","3.9456576781471258","6.2212651129588625","17","1.5995708600088387"
"JAX","2.1445402943624994","5.610241627717364","5.090109383973918","4.992343034184822","6.6473775744335395","5.610241627717364","5.303959153920358","4.765782759409387","2.892078989422316","3.506576369896611","","10","4.883849387924899","8.256120523233498","3.9456576781471258","5.098681922531317","6.6473775744335395","8.256120523233498","17","7.304257208975581"
"CAR","0","5.303959153920358","1.418451428122213","7.899967169657951","3.265840725003887","1.349338998171414","3.6688771966744085","2.9613170638321944","3.97632396237986","3.5868142373876095","10","4.765782759409387","","5.14847221432573","4.93252180172106","4.883849387924899","3.6688771966744085","1.418451428122213","17","1.4216362990620879"
"ARZ","2.895071713378903","3.591053390872002","1.349338998171414","7.64273968958021","4.992343034184822","5.14847221432573","1.418451428122213","5.497832818725773","4.6193534781392875","1.6343499278798648","3.265840725003887","5.090109383973918","","6.4587055082107225","4.765782759409387","3.6688771966744085","2.9613170638321944","3.265840725003887","17","0.7814102458020357"
"CHI","3.265840725003887","0.9833739013271309","6.6473775744335395","5.303959153920358","5.497832818725773","2.1445402943624994","6.4587055082107225","3.9456576781471258","4.106260797807952","5.915428892033842","2.9613170638321944","5.098681922531317","0.9833739013271309","","4.992343034184822","3.802566049962279","4.883849387924899","5.497832818725773","17","1.649064912303301"
"CIN","4.93252180172106","3.9456576781471258","5.098681922531317","4.685835729074376","10","1.418451428122213","2.9613170638321944","0","7.385651479141685","","4.93252180172106","8.256120523233498","2.895071713378903","0","3.6688771966744085","6.4587055082107225","3.802566049962279","10","17","3.9442553010132086"
"BUF","1.349338998171414","8.256120523233498","4.685835729074376","10","4.93252180172106","2.895071713378903","","0.9833739013271309","4.56413294304164","6.659099516842513","0","4.883849387924899","6.4587055082107225","5.098681922531317","4.685835729074376","7.234751689780631","4.568676542924387","6.4587055082107225","17","4.430000039611452"
